"año";"NCODI";"partoVaginal";"cesareas";"rNacVivos";"vivos_menor2500";"exitusMaternal"
2015;765,00;3454;588;4175;216;0
2015;329,00;0;0;0;0;0
2015;87,00;0;0;0;0;0
2015;527,00;0;0;0;0;0
2015;562,00;0;0;0;0;0
2015;251,00;18;21;39;0;0
2015;129,00;0;0;0;0;0
2015;154,00;0;0;0;0;0
2015;516,00;571;341;912;0;0
2015;184,00;0;0;0;0;0
2015;652,00;0;0;0;0;0
2015;637,00;180;38;221;13;0
2015;88,00;0;0;0;0;0
2015;907,00;0;0;0;0;0
2015;970,00;0;0;0;0;0
2015;1019,00;0;0;0;0;0
2015;1016,00;636;389;1042;57;0
2015;1047,00;1186;298;1492;56;0
2015;635,00;1814;629;2464;139;0
