"año";"NCODI";"altas_particular";"estancias_particular";"sesionHdia_particular";"consulta_particular";"cma_particular";"urge_particular";"hospDom_particular";"altas_AsegPriv";"estancias_AsegPriv";"sesionHdia_AsegPriv";"consulta_AsegPriv";"cma_AsegPriv";"urge_AsegPriv";"hospDom_AsegPriv";"altas_sns";"estancias_sns";"sesionHdia_sns";"consulta_sns";"cma_sns";"urge_sns";"hospDom_sns";"altas_MutuaFun";"estancias_MutuaFun";"sesionHdia_MutuaFun";"consulta_MutuaFun";"cma_MutuaFun";"urge_MutuaFun";"hospDom_MutuaFun";"altas_otrEntiPublica";"estancias_otrEntiPublica";"sesionHdia_otrEntiPublica";"consulta_otrEntiPublica";"cma_otrEntiPublica";"urge_otrEntiPublica";"hospDom_otrEntiPublica";"altas_MATEPSS";"estancias_MATEPSS";"sesionHdia_MATEPSS";"consulta_MATEPSS";"cma_MATEPSS";"urge_MATEPSS";"hospDom_MATEPSS";"altas_convIntern";"estancias_conveInter";"sesionHdia_conveInter";"consulta_conveInter";"cma_conveInter";"urge_conveInter";"hospDom_conveInter";"altas_AccTrafic";"estancias_AccTrafic";"sesionHdia_AccTrafic";"consulta_AccTrafic";"cma_AccTrafic";"urge_AccTrafic";"hospDom_AccTrafic";"otroRegimen";"altas_otroRegim";"estancias_otroRegim";"sesionHdia_otroRegim";"consulta_otroRegim";"cma_otroRegim";"urge_otroRegim";"hospDom_otroRegim";"total_altas";"total_estancias";"total_sesionHdia";"total_consulta";"total_cma";"total_urgencias";"total_hospDom"
2015;1104,00;79;399;0;168;0;2430;0;30;180;0;130;0;70;0;35174;236231;63275;878225;9795;121294;1696;39;230;6;160;6;140;0;0;0;0;0;0;0;0;10;59;0;160;0;599;0;0;0;0;0;0;0;0;74;590;0;0;0;1196;0;"Otros";0;0;0;0;0;0;0;35406;237689;63281;878843;9801;125729;1696
2015;436,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1713;27658;193;184201;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;1713;27658;193;184201;0;0;0
2015;567,00;0;0;0;9;0;0;0;1;7;0;0;0;0;0;4475;22212;5859;121228;7531;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;4476;22219;5859;121237;7531;45;0
2015;677,00;48;479;6;78;0;852;0;19;249;0;53;0;120;0;14851;134465;39832;416604;3114;88689;188;7;61;0;10;0;14;0;0;0;0;0;0;0;0;14;90;0;365;0;658;0;25;199;0;72;0;594;0;48;600;0;165;0;1134;0;"Otros";0;0;0;0;0;0;0;15012;136143;39838;417347;3114;92061;188
2015;670,00;24;175;9;76;0;483;0;9;34;4;113;0;935;0;7041;40305;26532;138722;2191;65773;111;64;711;299;389;2;219;0;0;0;0;10;0;3;0;0;0;0;0;0;2;0;19;141;13;68;1;368;0;7;29;0;12;0;83;0;"Otros";0;0;0;0;0;0;0;7164;41395;26857;139390;2194;67866;111
2015;588,00;1;4;0;4;0;0;0;0;0;0;0;0;0;0;5839;33624;9098;111593;6688;0;583;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;377;51;0;0;0;"Otros";0;0;0;0;0;0;0;5840;33628;9475;111648;6688;0;583
2015;753,00;150;1397;0;699;0;2352;0;14;77;0;38;0;94;0;47120;362144;54457;898374;8685;230132;268;61;721;31;761;2;161;1;1501;4606;24;3743;27;1333;1;12;86;0;11;0;1155;0;66;567;12;198;3;815;0;131;1626;1;396;1;2595;0;"Otros";0;0;0;0;0;0;0;49055;371224;54525;904220;8718;238637;270
2015;887,00;0;0;0;0;0;0;0;2;43;0;0;0;0;0;1429;108116;0;1672;0;895;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;1431;108159;0;1672;0;895;0
2015;245,00;424;969;0;0;15;308;0;11493;47679;0;0;457;25886;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;580;1769;0;0;68;1334;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;12497;50417;0;0;540;27528;0
2015;603,00;413;597;0;32078;5;925;0;9936;30918;1096;208667;761;139541;0;575;11248;0;2141;103;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";46;145;0;273;4;45;0;10970;42908;1096;243159;873;140511;0
