"año";"NCODI";"primDiges_hosp";"totDiges_hosp";"primDigestivo_CEP";"totDigestivo_CEP";"primCardio_hosp";"totCardio_hosp";"primCardio_CEP";"totCardio_CEP";"primDerma_hosp";"totDerma_hosp";"primDerma_CEP";"totDerma_CEP";"primNeurolog_hosp";"totNeurolog_hosp";"primNeurolog_CEP";"totNeurolog_CEP";"primPsquia_hosp";"totPsquia_hosp";"primPsquia_CEP";"totPsquia_CEP";"primRestoMed_hosp";"totRestoMed_hosp";"primRestoMed_CEP";"totRestoMed_CEP";"primCirGeneral_hosp";"totCirGeneral_hosp";"primCirGeneral_CEP";"totCirGeneral_CEP";"primTrauma_hosp";"totTrauma_hosp";"primTrauma_CEP";"totTrauma_CEP";"primGine_hosp";"totGine_hosp";"primGine_CEP";"totGine_CEP";"primOftalmo_hosp";"totOftalmo_hosp";"primOftalmo_CEP";"totOftalmo_CEP";"primOrl_hosp";"totOrl_hosp";"primOrl_CEP";"totOrl_CEP";"primUrolog_hosp";"totUrolog_hosp";"primUrolog_CEP";"totUrolog_CEP";"primRestoQuirurg_hosp";"totRestoQuirurg_hosp";"primRestoQuirurg_CEP";"totRestoQuirurg_CEP";"primPediatria_hosp";"totPediatria_hosp";"primPediatria_CEP";"totPediatria_CEP";"primPreAnest_hosp";"totPreAnest_hosp";"primPreAnest_CEP";"totPreAnest_CEP";"primRehabil_hosp";"totRehabil_hosp";"primRehabil_CEP";"totRehabil_CEP";"otrasTexto";"primOtrasConsul_hosp";"totOtrasConsul_hosp";"primOtrasConsul_CEP";"totOtrasConsul_CEP";"primTotal_hosp";"total_hosp";"primTotal_CEP";"total_CEP"
2015;1086,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0
2015;937,00;3083;10744;0;0;3808;10085;0;0;11088;18158;0;0;2453;8241;0;0;4438;27213;0;0;15070;62149;0;0;3890;9160;0;0;10402;24057;0;0;3788;17331;0;0;14498;24027;0;0;6385;12388;0;0;3120;9198;0;0;0;0;0;0;646;2603;0;0;7215;8907;0;0;3356;9682;0;0;"Otros";0;0;0;0;93240;253943;0;0
2015;1004,00;1420;1762;0;0;915;1364;0;0;3363;4068;0;0;775;944;0;0;331;386;0;0;14563;22577;0;0;298;452;0;0;3580;5289;0;0;824;1138;0;0;1221;1490;0;0;1030;1352;0;0;1614;2215;0;0;400;465;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";;;0;0;30334;43502;0;0
2015;737,00;3064;13855;0;0;1487;8479;3475;7847;10832;21187;0;0;1687;8392;4653;7135;2345;14885;0;0;17756;92743;5704;15230;5384;26583;919;1757;3072;16553;10038;18790;1858;19212;8508;28401;2139;31603;9329;17922;1359;11144;7753;12044;661;10268;4442;12911;3565;12869;0;0;4223;16156;0;0;10661;11101;0;0;5261;13361;147;228;"Otros";0;0;0;0;75354;328391;54968;122265
2015;765,00;1358;6375;7673;20416;853;6342;8686;14167;4001;6655;14563;25471;894;7452;7367;16703;573;3666;5061;33434;13526;109111;12354;42061;2884;10833;8623;13676;8893;46587;6782;16801;8330;46637;15497;48543;3888;35464;16119;42840;2308;10110;10193;17935;1040;14744;7695;27325;12479;44652;0;0;15491;63730;0;0;21017;26566;0;0;16872;32804;0;0;"Otros";0;0;0;0;114407;471728;120613;319372
2015;329,00;211;1371;3211;9566;393;3683;1218;7937;2308;3039;9503;14126;252;2909;3018;7236;389;982;0;0;5173;23484;8037;30473;526;5164;4955;5914;34;35;9394;27093;0;0;1680;8913;756;16895;10746;22324;1949;4239;0;0;0;0;4099;12815;0;0;0;0;0;0;0;0;5929;5929;0;0;1285;3002;0;0;"Otros";0;0;0;0;19205;70732;55861;146397
2015;87,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0
2015;527,00;0;0;0;0;1593;1883;0;0;0;0;0;0;648;2319;0;0;211;3079;0;0;1521;3348;0;0;774;2056;0;0;1045;3478;0;0;7724;24893;0;0;1687;21027;0;0;9013;17562;0;0;182;1901;0;0;1231;3217;0;0;0;0;0;0;8371;8405;0;0;3367;8179;0;0;"Otros";1495;3736;0;0;38862;105083;0;0
2015;562,00;0;0;0;0;38;69;0;0;151;217;0;0;334;847;0;0;379;1037;0;0;536;1998;0;0;0;0;0;0;5734;24064;0;0;0;0;0;0;397;1696;0;0;0;0;0;0;8;60;0;0;1631;4623;0;0;0;0;0;0;2307;2635;0;0;3470;15445;0;0;"Otros";0;0;0;0;14985;52691;0;0
2015;251,00;463;904;0;0;5103;5977;0;0;1248;2129;0;0;2492;2455;0;0;46;165;0;0;1232;7879;0;0;1409;4373;0;0;7443;12025;0;0;531;1806;0;0;464;965;0;0;579;1157;0;0;1046;2744;0;0;1488;3029;0;0;0;0;0;0;464;849;0;0;1132;1401;0;0;"Otros";0;0;0;0;25140;47858;0;0
