"año";"NCODI";"Urg_altas";"Urg_ingresos";"Urg_traslados";"Urg_exitus";"Urg_total"
2015;504,00;2909;884;76;0;3869
2015;247,00;20061;1700;42;1;21804
2015;216,00;16707;1321;46;1;18075
2015;654,00;11072;1043;27;0;12142
2015;65,00;0;0;0;0;0
2015;472,00;13551;1100;304;10;14965
2015;427,00;0;0;0;0;0
2015;491,00;7903;1118;272;9;9302
2015;551,00;13040;552;143;5;13740
2015;106,00;0;0;0;0;0
2015;819,00;0;0;0;0;0
2015;836,00;0;0;0;0;0
2015;915,00;0;0;0;0;0
2015;942,00;0;0;0;0;0
2015;748,00;84829;17379;101;69;102378
2015;198,00;0;0;0;0;0
2015;871,00;15447;2821;645;12;18925
2015;948,00;25670;1259;54;0;26983
2015;1051,00;0;0;0;0;0
2015;1083,00;0;0;0;0;0
2015;1096,00;0;0;0;0;0
2015;679,00;78373;15860;173;141;94547
2015;176,00;8210;512;59;0;8781
2015;537,00;10194;613;225;2;11034
2015;608,00;19580;3823;280;67;23750
2015;596,00;11168;3638;432;43;15281
2015;749,00;121820;17686;801;231;140538
2015;758,00;208858;26744;1247;299;237148
2015;1104,00;101180;23391;1027;131;125729
2015;436,00;0;0;0;0;0
2015;567,00;33;9;3;0;45
2015;677,00;81475;9765;726;95;92061
2015;670,00;64397;3443;26;0;67866
2015;588,00;0;0;0;0;0
2015;753,00;207480;30572;398;187;238637
2015;887,00;163;703;29;0;895
2015;245,00;23296;4086;140;6;27528
2015;603,00;135590;4482;436;3;140511
2015;426,00;0;0;0;0;0
2015;232,00;18838;2218;13;1;21070
2015;288,00;18013;580;244;0;18837
2015;246,00;6859;373;12;0;7244
2015;284,00;12335;965;12;18;13330
2015;18,00;0;0;0;0;0
2015;356,00;1094;881;0;0;1975
2015;401,00;0;0;0;0;0
2015;733,00;122594;16116;371;104;139185
2015;243,00;15939;1680;3;2;17624
2015;380,00;0;0;0;0;0
2015;716,00;31511;1670;59;4;33244
2015;534,00;80529;2872;46;0;83447
2015;185,00;3608;302;5;0;3915
2015;258,00;7372;672;0;0;8044
2015;505,00;5510;388;0;0;5898
2015;268,00;5676;574;0;2;6252
2015;602,00;0;0;0;0;0
2015;254,00;25237;3236;33;8;28514
2015;705,00;53210;3324;220;10;56764
2015;133,00;8547;2007;15;0;10569
2015;33,00;0;0;0;0;0
2015;143,00;1824;560;0;0;2384
2015;36,00;0;0;0;0;0
2015;756,00;57407;6993;528;21;64949
2015;662,00;119385;11991;613;79;132068
2015;192,00;0;0;0;0;0
2015;382,00;0;0;0;0;0
2015;322,00;0;0;0;0;0
2015;478,00;10543;559;357;0;11459
2015;352,00;0;0;0;0;0
2015;628,00;99453;10923;359;73;110808
2015;291,00;0;0;0;0;0
2015;495,00;8529;1074;23;0;9626
2015;845,00;79735;8726;83;22;88566
2015;498,00;36461;2713;1088;31;40293
2015;314,00;0;0;0;0;0
2015;720,00;28024;3740;18;2;31784
2015;721,00;95455;13213;533;63;109264
2015;485,00;0;0;0;0;0
2015;273,00;57232;5415;141;15;62803
2015;846,00;89263;10577;68;54;99962
2015;847,00;38074;706;119;0;38899
2015;848,00;55889;5475;243;0;61607
2015;916,00;994;1103;2;0;2099
2015;930,00;77488;3423;75;2;80988
2015;954,00;103913;11187;598;42;115740
2015;943,00;63269;2951;96;1;66317
2015;949,00;189649;27200;1644;291;218784
2015;980,00;119733;5574;619;3;125929
2015;981,00;14522;224;0;0;14746
2015;1024,00;81723;5721;0;0;87444
2015;1017,00;0;0;0;0;0
2015;1000,00;85223;6495;555;5;92278
2015;1018,00;90700;6537;467;35;97739
2015;1001,00;39588;2349;28;2;41967
2015;1007,00;105166;9786;459;68;115479
2015;1008,00;72028;7588;272;25;79913
2015;1009,00;110114;9714;1768;37;121633
2015;1010,00;75222;5894;139;31;81286
2015;1011,00;52740;3372;172;32;56316
2015;1012,00;91473;6806;110;50;98439
2015;1013,00;132692;17832;630;108;151262
2015;1041,00;0;0;0;0;0
2015;1073,00;102366;7956;306;17;110645
2015;1087,00;109284;12739;338;69;122430
2015;1109,00;70772;5745;438;25;76980
2015;1110,00;44847;4973;10;2;49832
2015;1112,00;18268;158;0;0;18426
2015;789,00;0;0;0;0;0
2015;326,00;0;0;0;0;0
2015;442,00;51159;2069;0;1;53229
2015;294,00;43026;2729;31;23;45809
2015;378,00;13124;1000;27;0;14151
2015;402,00;14938;579;0;0;15517
2015;29,00;0;0;0;0;0
2015;450,00;884;2;0;0;886
2015;656,00;58483;4480;436;99;63498
2015;333,00;93789;3130;109;2;97030
2015;668,00;36824;3860;343;53;41080
2015;684,00;74012;5372;559;143;80086
2015;422,00;;69;0;0;69
2015;763,00;316697;21674;1087;197;339655
2015;741,00;142851;13678;1147;299;157975
2015;553,00;98893;12643;531;233;112300
2015;357,00;570;1099;3;0;1672
2015;899,00;0;0;0;0;0
2015;900,00;0;0;0;0;0
2015;932,00;0;0;0;0;0
2015;950,00;0;0;0;0;0
2015;966,00;20818;1877;17;1;22713
2015;967,00;0;0;0;0;0
2015;982,00;60638;4785;67;0;65490
2015;1014,00;55486;2;1614;1;57103
2015;1048,00;0;0;0;0;0
2015;1080,00;99339;4539;4;2;103884
2015;1074,00;15959;6;8;2;15975
2015;1084,00;19734;21;9;0;19764
2015;1113,00;120;4;1;0;125
2015;722,00;173962;27170;2102;88;203322
2015;660,00;87200;8368;904;51;96523
2015;75,00;258;362;0;0;620
2015;249,00;32967;2004;0;0;34971
2015;275,00;0;0;0;0;0
2015;227,00;43824;3821;68;3;47716
2015;150,00;1982;76;0;1;2059
2015;47,00;0;0;0;0;0
2015;172,00;4504;0;0;0;4504
2015;581,00;41359;3710;522;63;45654
2015;120,00;0;0;0;0;0
2015;445,00;0;0;0;0;0
2015;471,00;13267;1286;131;10;14694
2015;53,00;0;0;0;0;0
2015;199,00;5193;17;0;0;5210
2015;575,00;58807;6618;654;66;66145
2015;528,00;22290;3380;315;28;26013
2015;631,00;69437;8828;1026;63;79354
2015;699,00;71005;10821;859;55;82740
2015;823,00;11381;193;26;0;11600
2015;849,00;34090;2310;311;26;36737
2015;869,00;57652;1759;384;0;59795
2015;955,00;0;0;0;0;0
2015;983,00;0;0;0;0;0
2015;1002,00;0;0;0;0;0
2015;1015,00;148942;18417;590;121;168070
2015;51,00;0;0;0;0;0
2015;441,00;0;0;0;0;0
2015;327,00;0;0;0;0;0
2015;690,00;13124;1640;8;1;14773
2015;262,00;14431;1192;33;3;15659
2015;403,00;0;0;0;0;0
2015;312,00;0;0;0;0;0
2015;589,00;22115;3279;404;25;25823
2015;665,00;42480;5460;487;32;48459
2015;334,00;0;0;0;0;0
2015;1075,00;145886;27038;385;102;173411
2015;751,00;74050;21249;261;146;95706
2015;186,00;30914;662;14;0;31590
2015;646,00;8337;2462;373;30;11202
2015;536,00;10848;2056;539;37;13480
2015;242,00;5524;385;60;0;5969
2015;490,00;0;0;0;0;0
2015;500,00;15941;1742;52;0;17735
2015;206,00;29158;176;0;0;29334
2015;58,00;5;28;0;0;33
2015;572,00;54271;13748;967;48;69034
2015;180,00;0;0;0;0;0
2015;549,00;11214;1943;223;6;13386
2015;582,00;17599;3218;277;23;21117
2015;743,00;81033;13955;1829;182;96999
2015;795,00;0;0;0;0;0
2015;269,00;4256;24;8;0;4288
2015;634,00;22470;5493;0;9;27972
2015;1,00;12568;690;156;0;13414
2015;717,00;27719;5725;491;46;33981
2015;373,00;938;0;0;0;938
2015;535,00;25868;4759;607;23;31257
2015;824,00;111377;20671;3501;239;135788
2015;888,00;16669;2274;457;22;19422
2015;902,00;0;0;0;0;0
2015;968,00;0;0;0;0;0
2015;346,00;0;7;0;0;7
2015;27,00;0;0;0;0;0
2015;165,00;8460;244;51;1;8756
2015;956,00;34933;11773;329;57;47092
2015;413,00;0;0;0;0;0
2015;149,00;0;0;0;0;0
2015;612,00;47041;870;396;0;48307
2015;559,00;1322;25;0;0;1347
2015;7,00;964;0;38;0;1002
2015;283,00;43980;1473;168;1;45622
2015;37,00;0;0;0;0;0
2015;153,00;82756;868;177;0;83801
2015;547,00;50253;6586;227;43;57109
2015;397,00;0;0;0;0;0
2015;556,00;34216;4059;61;59;38395
2015;42,00;;57;;;57
2015;31,00;0;0;0;0;0
2015;740,00;123263;17162;944;192;141561
2015;217,00;23417;2966;184;2;26569
2015;863,00;9941;1662;73;0;11676
2015;889,00;71314;9566;1048;385;82313
2015;984,00;32550;3655;862;10;37077
2015;1106,00;5816;15;0;0;5831
2015;34,00;0;0;0;0;0
2015;791,00;19289;2644;52;0;21985
2015;181,00;0;0;0;0;0
2015;430,00;1863;61;158;0;2082
2015;715,00;71370;10909;378;33;82690
2015;521,00;6805;345;9;0;7159
2015;524,00;22856;1919;97;3;24875
2015;432,00;2760;114;0;0;2874
2015;19,00;;27;0;0;27
2015;25,00;0;0;0;0;0
2015;26,00;0;0;0;0;0
2015;890,00;73175;14193;423;79;87870
2015;904,00;31484;3777;1009;31;36301
2015;957,00;146513;26606;1545;194;174858
2015;939,00;133430;19666;38;118;153252
2015;236,00;27813;974;14;0;28801
2015;735,00;137325;16056;3198;440;157019
2015;146,00;0;0;0;0;0
2015;363,00;4839;215;45;1;5100
2015;187,00;7844;958;16;0;8818
2015;265,00;7196;308;0;0;7504
2015;295,00;21530;1060;3;0;22593
