"año";"NCODI";"60_totalCompra";"600_producFarma";"601_materialSani";"601_1_implantes";"601_2_restoMateriaSani";"606_servContratado";"607_trabajoContratado";"60X_restoCompras";"61_variaExistencias";"62_servExteriores";"628_sumistro";"62X_restoServiExter";"64_gastoPersonal";"640_sueldos";"641_indemnizacion";"642_SegSocEmpresa";"643_649_OtrGasSocial";"68_dotaAmortizacion";"69_perdidaDeterioro";"6X_restoGasto";"tot_compraGasto"
2015;658,00;20041121;9106820;6635935;1374782;5261153;1318759;2144431;835176;0;1186767;662683;524084;39834527;31314705;0;8052791;467031;0;0;63793;61126208
2015;353,00;865253;407464;97467;0;97467;0;295690;64632;0;250386;96201;154185;4736793;3715124;0;982363;39306;0;0;9548;5861980
2015;323,00;765348;111165;19079;0;19079;0;578718;56386;0;263278;205044;58234;5121935;3952023;0;1135846;34066;0;0;16300;6166861
2015;620,00;17113892;8224896;4564802;909086;3655716;1726870;1958843;638481;0;1800144;696158;1103986;43391171;35050572;0;7731786;608813;0;0;0;62305207
2015;384,00;4513455;767357;883423;642568;726327;18847;1964247;879581;;1707282;1707282;0;27946799;21968498;0;5236687;741614;0;0;87376;34254912
2015;554,00;39886041;17211060;11970631;3845103;8125528;5700533;3819252;1184565;91696;3764167;1934797;1829370;63699623;52005633;0;11585724;108266;1424759;0;430340;109296626
2015;209,00;1281712;102140;256649;0;256649;418986;410505;93432;-15679;245777;106611;139166;2107178;1676932;183;422077;7986;166543;0;339501;4125032
2015;707,00;125777022;53311299;40711601;13533002;27178599;19250024;10538507;1965591;0;10379403;4155715;6223688;175328724;138835929;0;35908775;584020;0;0;200430;311685579
2015;395,00;567383;99700;219141;111089;108052;;241337;7205;12090;798200;124820;673380;2628721;1972402;35;573958;82326;322808;0;2995;4332197
2015;969,00;6473337;1684793;901241;11290;889951;3284301;119268;483734;-17191;2664984;426038;2238946;6115104;4479359;5384;1462484;167877;276998;661393;155884;16330509
