"año";"NCODI";"inver_iIntangible";"inver_IMaterial";"inver_IMterrenos";"inver_IMresto";"inver_Otras";"inver_Total"
2014;107,00;19365;309684;0;309684;0;329049
2014;711,00;475202;1675967;0;1675967;634214;2785383
2014;204,00;0;133764;0;133764;0;133764
2014;579,00;22850;370492;0;370492;0;393342
2014;348,00;227370;647477;0;647477;0;874847
2014;766,00;12743;611808;0;611808;0;624551
2014;761,00;0;304787;0;304787;16777;321564
2014;728,00;16010;6170545;0;6170545;0;6186555
2014;280,00;16763;2532080;0;2532080;23889;2572732
2014;222,00;22175;193231;0;193231;0;215406
2014;276,00;43137;2012109;0;2012109;0;2055246
2014;11,00;6300;531210;0;531210;0;537510
2014;302,00;6528;197481;0;197481;0;204009
2014;682,00;268083;1791284;0;1791284;747891;2807258
2014;279,00;12487;400129;0;400129;0;412616
2014;282,00;0;0;0;0;1;1
2014;281,00;0;2250663;0;2250663;90506;2341169
2014;183,00;0;33089;0;33089;0;33089
2014;610,00;0;488055;0;488055;0;488055
2014;116,00;5849;48604;0;48604;0;54453
2014;115,00;0;106350;0;106350;0;106350
2014;114,00;0;0;0;0;1840;1840
2014;119,00;0;38000;0;38000;0;38000
2014;770,00;0;1797933;0;1797933;0;1797933
2014;583,00;33751;316556;0;316556;0;350307
2014;136,00;0;99763;0;99763;0;99763
2014;469,00;5668;252750;0;252750;0;258418
2014;642,00;4976;240789;0;240789;0;245765
2014;674,00;391616;15393071;2728413;12664658;0;15784687
2014;193,00;834;69336;0;69336;0;70170
2014;526,00;12070;1108159;0;1108159;0;1120229
2014;698,00;0;1876937;0;1876937;0;1876937
2014;630,00;99526;644368;0;644368;0;743894
2014;124,00;2976;53137;1912;51225;0;56113
2014;364,00;0;1;0;1;0;1
2014;439,00;22939;1515354;0;1515354;5242;1543535
2014;570,00;78437;17468858;0;17468858;17926;17565221
2014;123,00;78144;268638;0;268638;503982;850764
2014;310,00;10613;442881;0;442881;0;453494
2014;571,00;0;753051;0;753051;0;753051
2014;296,00;2118;25403;0;25403;64416;91937
2014;566,00;426927;321724;0;321724;0;748651
2014;784,00;50382;3917291;993374;2923917;1772841;5740514
2014;102,00;9096;411548;0;411548;274971;695615
2014;379,00;0;1903430;682202;1221228;0;1903430
2014;639,00;1982061;1168338;0;1168338;0;3150399
2014;457,00;55375;342261;0;342261;0;397636
2014;609,00;40825;4262083;0;4262083;0;4302908
2014;101,00;0;99501;0;99501;11095;110596
2014;454,00;183044;669208;0;669208;0;852252
2014;318,00;0;83440;0;83440;0;83440
2014;600,00;302045;555705;0;555705;0;857750
2014;545,00;236497;796500;0;796500;0;1032997
2014;100,00;0;0;0;0;1;1
2014;702,00;114612;3129752;0;3129752;0;3244364
2014;778,00;0;2249561;0;2249561;0;2249561
2014;341,00;0;128722;0;128722;11742;140464
2014;99,00;33245;133230;0;133230;163733;330208
2014;767,00;0;244767;0;244767;0;244767
2014;359,00;92252;337272;0;337272;0;429524
2014;98,00;0;89027;0;89027;0;89027
2014;132,00;0;154589;0;154589;0;154589
2014;97,00;0;0;0;0;1;1
2014;103,00;13844;85565;0;85565;0;99409
2014;110,00;0;741242;14321;726921;0;741242
2014;94,00;0;16522;0;16522;0;16522
2014;91,00;0;480007;0;480007;0;480007
2014;664,00;310239;1269800;0;1269800;0;1580039
2014;918,00;29462;6732280;0;6732280;0;6761742
2014;92,00;0;2239;0;2239;0;2239
2014;95,00;0;168092;0;168092;0;168092
2014;96,00;0;1232;0;1232;0;1232
2014;301,00;6304;196887;0;196887;0;203191
2014;492,00;93029;119064;0;119064;0;212093
2014;811,00;503630;241478;0;241478;0;745108
2014;812,00;174748;3015356;0;3015356;0;3190104
2014;832,00;343;1801;0;1801;2542;4686
2014;841,00;0;62581;0;62581;0;62581
2014;856,00;0;11341;0;11341;0;11341
2014;859,00;523;37670;0;37670;0;38193
2014;861,00;1;0;0;0;0;1
2014;880,00;0;67927;0;67927;0;67927
2014;883,00;0;0;0;0;1;1
2014;884,00;0;4828;0;4828;0;4828
2014;877,00;0;30714;0;30714;0;30714
2014;911,00;90157;262622;0;262622;0;352779
2014;913,00;0;0;0;0;1;1
2014;922,00;1371744;7172845;0;7172845;0;8544589
2014;923,00;0;8320;0;8320;0;8320
2014;924,00;0;249702;0;249702;0;249702
2014;947,00;0;35725;0;35725;0;35725
2014;951,00;0;40098;0;40098;0;40098
2014;1103,00;385;989;0;989;0;1374
2014;972,00;0;9795;0;9795;0;9795
2014;973,00;0;214058;0;214058;0;214058
2014;974,00;0;1227;0;1227;0;1227
2014;975,00;0;63101;0;63101;0;63101
2014;960,00;22797;87574;0;87574;0;110371
2014;1028,00;0;6053;0;6053;0;6053
2014;976,00;0;8945;0;8945;0;8945
2014;977,00;394;29151;0;29151;0;29545
2014;1020,00;0;2536;0;2536;0;2536
2014;994,00;58152;163202;0;163202;171454;392808
2014;995,00;1500;2757;0;2757;0;4257
2014;1060,00;0;480;0;480;0;480
2014;1005,00;392;0;0;0;0;392
2014;1061,00;0;41322;0;41322;0;41322
2014;1006,00;0;83306;0;83306;0;83306
2014;1088,00;0;15008;0;15008;26000;41008
2014;1089,00;6437;443389;0;443389;0;449826
2014;1076,00;0;0;0;0;0;0
2014;1078,00;0;385;0;385;0;385
2014;1033,00;186774;788505;0;788505;0;975279
2014;1037,00;0;0;0;0;1;1
2014;1039,00;433;3953;0;3953;0;4386
2014;1067,00;0;63962;0;63962;1660;65622
2014;1065,00;5850;41326;0;41326;0;47176
2014;1066,00;24867;1231728;0;1231728;0;1256595
2014;1100,00;0;0;0;0;1;1
2014;1105,00;5939;254842;0;254842;0;260781
2014;1107,00;0;251691;0;251691;0;251691
2014;207,00;609;22262;0;22262;0;22871
2014;431,00;0;3198;0;3198;0;3198
2014;387,00;0;175192;0;175192;0;175192
2014;179,00;0;3227;0;3227;0;3227
2014;606,00;0;220778;0;220778;0;220778
2014;925,00;4177;10254;0;10254;28581;43012
2014;541,00;0;43165;0;43165;0;43165
2014;797,00;0;87025;87025;0;0;87025
2014;627,00;0;250478;0;250478;0;250478
2014;173,00;0;79777;0;79777;0;79777
2014;636,00;0;793736;0;793736;0;793736
2014;205,00;408;233468;0;233468;0;233876
2014;814,00;0;0;0;0;0;0
2014;881,00;3267;176380;0;176380;0;179647
2014;771,00;0;131094;131094;0;0;131094
2014;533,00;29477;105189;0;105189;0;134666
2014;447,00;1024;18597;0;18597;0;19621
2014;815,00;0;53170;0;53170;3000;56170
2014;801,00;0;62685;0;62685;0;62685
2014;800,00;398557;901358;0;901358;0;1299915
2014;389,00;1680;12489;0;12489;0;14169
2014;695,00;0;217020;0;217020;0;217020
2014;816,00;0;16850;0;16850;0;16850
2014;833,00;2554;21158;0;21158;0;23712
2014;870,00;0;0;0;0;648666;648666
2014;927,00;0;54885;0;54885;0;54885
2014;961,00;0;0;0;0;0;0
2014;962,00;14728;222835;0;222835;0;237563
2014;1079,00;0;0;0;0;0;0
2014;1101,00;5726;257232;0;257232;59496;322454
2014;666,00;0;1829091;187570;1641521;0;1829091
2014;392,00;0;0;0;0;79619;79619
2014;790,00;0;1339900;0;1339900;0;1339900
2014;650,00;0;140500;0;140500;0;140500
2014;876,00;0;1090164;0;1090164;0;1090164
2014;944,00;0;54583;0;54583;0;54583
2014;952,00;40000;710000;0;710000;0;750000
2014;54,00;0;0;0;0;0;0
2014;367,00;5945;387554;0;387554;0;393499
2014;538,00;0;98959;0;98959;0;98959
2014;557,00;0;121957;0;121957;0;121957
2014;653,00;0;0;0;0;320955;320955
2014;647,00;0;284238;0;284238;0;284238
2014;978,00;0;3269809;1048649;2221160;0;3269809
2014;996,00;0;47152;0;47152;0;47152
2014;729,00;0;621841;0;621841;0;621841
2014;182,00;10670;322380;0;322380;0;333050
2014;633,00;0;10308575;0;10308575;0;10308575
2014;685,00;0;0;0;0;0;0
2014;683,00;0;0;0;0;0;0
2014;945,00;0;0;0;0;53534;53534
2014;953,00;0;187321;0;187321;0;187321
2014;1022,00;0;0;0;0;43283;43283
2014;1049,00;0;94731;0;94731;0;94731
