"año";"NCODI";"biopsias_hosp";"biopsias_CEP";"necropsias_hosp";"angio_hosp";"angio_CEP";"densiometrias_hosp";"densiometrias_CEP";"gamma_hosp";"gamma_CEP";"mamo_hosp";"mamo_CEP";"pet_hosp";"pet_CEP";"resonancia_hosp";"resonancia_CEP";"rx_hosp";"rx_CEP";"spect_hosp";"spect_CEP";"tac_hosp";"tac_CEP";"Colonosopia";"Broncoscopia";"ERCP"
2014;598,00;3500;0;4;0;0;0;0;0;0;2118;0;0;0;0;0;45907;0;0;0;4879;0;1075;33;0
2014;260,00;16831;0;0;800;0;3979;0;243;0;12132;0;2080;0;17020;0;142796;0;67;0;9996;0;1011;0;0
2014;838,00;1232;0;0;0;0;0;0;0;0;1114;0;0;0;893;0;19350;0;0;0;1014;0;215;0;0
2014;839,00;335;0;0;0;0;305;0;0;0;1532;0;0;0;1083;0;13359;0;0;0;471;0;219;0;0
2014;851,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;852,00;19815;0;16;0;0;3746;0;0;0;3265;0;530;0;13142;0;77994;73979;877;0;22608;0;3370;227;19
2014;988,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1558;0;0;0;0;0;0;0;0
2014;1056,00;17561;0;3;34;0;6599;0;0;0;5807;0;0;0;10721;0;131503;25803;0;0;15768;0;3150;146;141
2014;1044,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;644,00;16944;0;6;2052;0;4242;0;0;0;4280;0;0;0;10347;0;114810;45175;0;0;16928;0;4625;355;1043
2014;752,00;16156;0;19;0;0;0;0;7112;0;4841;0;0;0;17689;0;145426;39507;641;0;21449;0;4047;1089;0
2014;238,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;325,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;622,00;4275;0;1;0;0;0;0;0;0;811;0;0;0;0;0;39137;0;0;0;6320;0;1276;0;0
2014;879,00;482;0;0;0;0;0;0;0;0;0;0;0;0;8;0;2316;0;0;0;280;0;0;0;0
2014;906,00;1361;0;0;0;0;0;0;0;0;4;0;0;0;280;0;21284;0;0;0;1334;0;557;0;74
2014;370,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9695;0;0;0;0;0;;;
2014;418,00;0;0;0;0;0;0;0;0;0;0;0;0;0;3502;0;16896;0;0;0;0;0;;;
2014;574,00;0;0;0;0;0;0;0;0;0;0;0;0;0;3396;0;10938;0;0;0;0;0;;;
2014;399,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3604;0;0;0;0;0;0;0;0
2014;195,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6258;0;0;0;0;0;;;
2014;783,00;32203;0;25;610;0;0;0;0;0;11009;0;0;0;7943;0;38511;121980;0;0;21915;6779;0;0;0
2014;263,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23327;0;0;0;0;0;0;0;0
