"año";"NCODI";"altas_particular";"estancias_particular";"sesionHdia_particular";"consulta_particular";"cma_particular";"urge_particular";"hospDom_particular";"altas_AsegPriv";"estancias_AsegPriv";"sesionHdia_AsegPriv";"consulta_AsegPriv";"cma_AsegPriv";"urge_AsegPriv";"hospDom_AsegPriv";"altas_sns";"estancias_sns";"sesionHdia_sns";"consulta_sns";"cma_sns";"urge_sns";"hospDom_sns";"altas_MutuaFun";"estancias_MutuaFun";"sesionHdia_MutuaFun";"consulta_MutuaFun";"cma_MutuaFun";"urge_MutuaFun";"hospDom_MutuaFun";"altas_otrEntiPublica";"estancias_otrEntiPublica";"sesionHdia_otrEntiPublica";"consulta_otrEntiPublica";"cma_otrEntiPublica";"urge_otrEntiPublica";"hospDom_otrEntiPublica";"altas_MATEPSS";"estancias_MATEPSS";"sesionHdia_MATEPSS";"consulta_MATEPSS";"cma_MATEPSS";"urge_MATEPSS";"hospDom_MATEPSS";"altas_convIntern";"estancias_conveInter";"sesionHdia_conveInter";"consulta_conveInter";"cma_conveInter";"urge_conveInter";"hospDom_conveInter";"altas_AccTrafic";"estancias_AccTrafic";"sesionHdia_AccTrafic";"consulta_AccTrafic";"cma_AccTrafic";"urge_AccTrafic";"hospDom_AccTrafic";"otroRegimen";"altas_otroRegim";"estancias_otroRegim";"sesionHdia_otroRegim";"consulta_otroRegim";"cma_otroRegim";"urge_otroRegim";"hospDom_otroRegim";"total_altas";"total_estancias";"total_sesionHdia";"total_consulta";"total_cma";"total_urgencias";"total_hospDom"
2011;568,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1934;5543;0;35716;483;5830;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;1934;5543;0;35716;483;5830;0
2011;398,00;35;153;0;318;0;106;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3568;20702;0;19952;0;6989;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;3603;20855;0;20270;0;7095;0
2011;394,00;0;0;0;0;0;0;0;0;0;0;0;0;1674;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1326;8235;0;9460;284;5252;0;0;0;0;0;0;0;0;442;2770;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;1768;11005;0;9460;284;6926;0
2011;614,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;700;3937;0;10759;322;0;0;0;0;0;0;0;0;0;133;750;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;833;4687;0;10759;322;0;0
2011;235,00;182;301;0;295;0;13;0;1534;4038;0;10672;0;4735;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;309;1288;0;2823;0;846;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;2025;5627;0;13790;0;5594;0
2011;616,00;4;5;0;0;0;432;0;1;2;0;4;0;3;0;3466;18407;8606;104788;3743;45757;366;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52;0;0;0;0;0;0;0;0;5;13;0;1478;2;618;0;"Otros";0;0;0;0;0;0;0;3476;18427;8606;106270;3745;46862;366
2011;267,00;637;2790;0;771;0;347;0;11514;31633;0;20955;0;19722;0;0;0;0;0;0;0;0;322;863;0;0;0;59;0;5;58;0;0;0;0;0;63;225;0;0;0;1122;0;0;0;0;0;0;0;0;35;12069;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;12576;47638;0;21726;0;21250;0
2011;565,00;29;51;0;4450;0;0;0;0;0;0;1;0;0;0;5456;41377;330;98425;3356;0;0;0;0;0;0;0;0;0;0;0;0;110;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;5485;41428;330;102986;3356;0;0
2011;220,00;845;1689;553;3151;142;1197;0;8305;16893;4973;31518;1423;11973;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;188;0;351;17;134;0;"Otros";0;0;0;0;0;0;0;9172;18770;5526;35020;1582;13304;0
2011;278,00;783;1835;0;0;16;248;0;10143;40101;0;0;1665;15407;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;10926;41936;0;0;1681;15655;0
2011;107,00;26;1525;0;0;0;0;0;30;1403;0;0;0;0;0;499;36163;16511;0;0;0;428;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;555;39091;16511;0;0;0;428
2011;141,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;82;12838;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;82;12838;0;0;0;0;0
2011;711,00;69;343;148;736;3;1317;0;174;1286;511;1773;12;844;0;33701;183767;77405;401150;7782;132522;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;56;0;14;0;433;0;0;0;0;0;0;0;0;225;1572;0;4630;31;1317;0;"Otros";0;0;0;0;0;0;0;34187;187024;78064;408303;7828;136433;0
2011;204,00;7;151;0;388;0;22;0;0;0;0;9420;0;359;0;430;36207;5564;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;6;0;0;0;0;0;0;0;0;1;203;0;7;0;1;0;"Otros";0;0;0;0;0;0;0;438;36561;5564;9821;0;388;0
2011;579,00;45;156;0;26393;0;6240;0;3709;6615;0;127861;0;89747;0;0;0;0;0;0;0;0;68;242;0;14027;0;8411;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;3822;7013;0;168281;0;104398;0
