"año";"NCODI";"Urg_altas";"Urg_ingresos";"Urg_traslados";"Urg_exitus";"Urg_total"
2012;495,00;5991;637;0;0;6628
2012;845,00;89667;10188;110;32;99997
2012;498,00;37296;2667;1024;57;41044
2012;314,00;0;0;0;0;0
2012;720,00;23522;3486;22;1;27031
2012;721,00;89191;12327;394;64;101976
2012;485,00;0;0;0;0;0
2012;273,00;66612;5030;318;13;71973
2012;846,00;87213;11379;62;77;98731
2012;847,00;26147;811;0;0;26958
2012;848,00;53961;6051;43;2;60057
2012;864,00;0;0;0;0;0
2012;916,00;1777;867;10;0;2654
2012;930,00;79982;3306;75;8;83371
2012;954,00;110268;10453;474;42;121237
2012;943,00;62900;4061;65;5;67031
2012;949,00;177001;26255;2429;276;205961
2012;980,00;110100;4343;692;5;115140
2012;981,00;11782;480;0;0;12262
2012;1024,00;71501;5630;10;1;77142
2012;1017,00;0;0;0;0;0
2012;1000,00;71366;5839;310;2;77517
2012;1018,00;75022;5333;602;64;81021
2012;1001,00;33352;1640;24;0;35016
2012;1007,00;99666;8853;710;45;109274
2012;1008,00;68514;7418;12;5;75949
2012;1009,00;97921;9095;1355;35;108406
2012;1010,00;63405;5330;153;31;68919
2012;1011,00;44669;3145;257;38;48109
2012;1012,00;83941;6501;134;30;90606
2012;1013,00;130074;17836;681;139;148730
2012;1041,00;0;0;0;0;0
2012;1073,00;79404;6936;242;18;86600
2012;1087,00;45140;4522;250;40;49952
2012;789,00;0;0;0;0;0
2012;326,00;0;0;0;0;0
2012;442,00;39636;3302;0;2;42940
2012;294,00;38942;2244;32;18;41236
2012;378,00;18007;1052;53;0;19112
2012;402,00;10720;238;3;2;10963
2012;29,00;0;0;0;0;0
2012;450,00;381;5;0;0;386
2012;656,00;53049;5120;269;73;58511
2012;333,00;63425;3429;1714;1;68569
2012;668,00;35858;3526;298;65;39747
2012;684,00;70650;4840;583;165;76238
2012;422,00;0;78;0;0;78
2012;763,00;287656;23327;466;171;311620
2012;741,00;134402;14668;991;286;150347
2012;553,00;93930;12580;514;168;107192
2012;357,00;730;1496;0;0;2226
2012;899,00;0;0;0;0;0
2012;900,00;120;10;5;0;135
2012;932,00;0;0;0;0;0
2012;950,00;39;28;0;0;67
2012;966,00;16598;1074;17;2;17691
2012;967,00;0;0;0;0;0
2012;982,00;49961;4039;36;1;54037
2012;1014,00;52648;39;1633;1;54321
2012;1048,00;0;0;0;0;0
2012;1080,00;67838;3475;3;0;71316
2012;1074,00;5979;76;0;1;6056
2012;722,00;164544;24570;2458;115;191687
2012;660,00;81987;7860;936;73;90856
2012;75,00;202;375;18;0;595
2012;249,00;35380;2341;0;1;37722
2012;275,00;0;0;0;0;0
2012;227,00;52677;3298;101;5;56081
2012;150,00;1383;0;0;0;1383
2012;47,00;0;0;0;0;0
2012;172,00;3970;4;0;0;3974
2012;581,00;38134;3815;389;54;42392
2012;120,00;0;0;0;0;0
2012;445,00;0;0;0;0;0
2012;471,00;9514;894;116;0;10524
2012;53,00;0;0;0;0;0
2012;199,00;3495;22;3;0;3520
2012;575,00;52003;5384;645;38;58070
2012;528,00;20008;3247;278;15;23548
2012;631,00;64477;8810;1006;59;74352
2012;699,00;65581;10691;862;44;77178
2012;823,00;9459;77;40;0;9576
2012;849,00;28503;2186;239;18;30946
2012;869,00;46579;1764;1358;1;49702
2012;955,00;0;0;0;0;0
2012;983,00;0;0;0;0;0
2012;1002,00;0;0;0;0;0
2012;1015,00;126771;17948;613;91;145423
2012;51,00;0;0;0;0;0
2012;441,00;0;0;0;0;0
2012;327,00;0;0;0;0;0
2012;690,00;9803;1378;4;0;11185
2012;262,00;11448;1738;20;0;13206
2012;403,00;0;0;0;0;0
2012;312,00;0;0;0;0;0
2012;589,00;20846;3270;432;9;24557
2012;665,00;40345;5562;498;37;46442
2012;334,00;0;0;0;0;0
2012;1075,00;133670;27061;1182;67;161980
2012;751,00;79374;19377;342;156;99249
2012;186,00;32675;421;118;2;33216
2012;646,00;9528;2624;266;24;12442
2012;536,00;11361;1763;449;25;13598
2012;242,00;5377;390;44;5;5816
2012;490,00;0;0;0;0;0
2012;500,00;15465;1541;16;0;17022
2012;206,00;21352;0;0;0;21352
2012;58,00;0;0;0;0;0
2012;572,00;52933;12227;995;40;66195
2012;180,00;0;0;0;0;0
