"año";"NCODI";"inver_iIntangible";"inver_IMaterial";"inver_IMterrenos";"inver_IMresto";"inver_Otras";"inver_Total"
2012;988,00;0;54555;0;54555;0;54555
2012;1056,00;175602;1543515;0;1543515;0;1719117
2012;1044,00;0;0;0;0;0;0
2012;644,00;0;90046;0;90046;0;90046
2012;752,00;658019;0;0;0;5237;663256
2012;238,00;0;49500;0;49500;6000;55500
2012;325,00;3532;4692704;0;4692704;0;4696236
2012;622,00;0;264112;0;264112;0;264112
2012;879,00;0;3536;0;3536;0;3536
2012;906,00;1312484;38758;0;38758;0;1351242
2012;370,00;0;354542;0;354542;0;354542
2012;418,00;0;183997;0;183997;0;183997
2012;574,00;17964;139767;0;139767;0;157731
