"año";"NCODI";"partoVaginal";"cesareas";"rNacVivos";"vivos_menor2500";"exitusMaternal"
2012;692,00;939;243;1200;37;0
2012;335,00;0;0;0;0;0
2012;435,00;75;55;134;0;0
2012;423,00;54;53;107;0;0
2012;351,00;0;0;0;0;0
2012;830,00;846;178;1047;0;0
2012;892,00;1712;397;2154;159;0
2012;921,00;463;360;812;50;0
2012;991,00;73;20;93;0;0
2012;992,00;757;136;900;30;1
2012;993,00;530;156;698;35;1
2012;1071,00;1387;542;1990;296;0
2012;473,00;2392;925;3423;489;0
2012;663,00;1208;379;1605;122;1
2012;552,00;0;0;0;0;0
2012;772,00;0;0;0;0;0
2012;568,00;0;0;0;0;0
2012;398,00;0;0;0;0;0
2012;394,00;0;0;0;0;0
2012;614,00;0;0;0;0;0
2012;235,00;0;0;0;0;0
2012;616,00;0;0;0;0;0
2012;267,00;1468;1142;2784;122;0
2012;565,00;0;0;0;0;0
2012;220,00;351;275;631;28;0
2012;278,00;1124;688;1844;130;0
2012;107,00;0;0;0;0;0
2012;141,00;0;0;0;0;0
2012;711,00;1275;372;1680;160;0
2012;204,00;0;0;0;0;0
2012;579,00;0;0;0;0;0
2012;348,00;0;0;0;0;0
2012;766,00;0;0;0;0;0
2012;761,00;0;0;0;0;0
2012;728,00;15;12;27;0;0
2012;280,00;1523;1152;2757;218;0
2012;222,00;0;0;0;0;0
2012;276,00;2291;1210;3601;148;0
2012;11,00;280;181;486;14;0
2012;302,00;140;76;220;6;0
2012;682,00;0;0;0;0;0
2012;279,00;1760;813;2667;241;1
2012;282,00;1374;838;2274;161;0
2012;281,00;647;521;1205;16;0
2012;183,00;0;0;0;0;0
2012;610,00;0;0;0;0;0
2012;116,00;0;0;0;0;0
2012;115,00;0;0;0;0;0
2012;114,00;0;0;0;0;0
2012;126,00;0;0;0;0;0
2012;119,00;0;0;0;0;0
2012;770,00;1153;422;1590;150;0
2012;583,00;0;0;0;0;0
2012;136,00;0;0;0;0;0
2012;469,00;143;68;209;7;0
2012;642,00;757;256;1026;44;0
2012;674,00;2328;812;3241;429;0
2012;193,00;0;0;0;0;0
2012;526,00;1415;424;1863;132;0
2012;698,00;0;0;0;0;0
2012;630,00;1401;306;1705;89;0
2012;124,00;0;0;0;0;0
2012;364,00;0;0;0;0;0
2012;604,00;1541;613;2243;158;0
2012;123,00;0;0;0;0;0
2012;310,00;0;0;0;0;0
2012;571,00;593;169;772;42;0
2012;296,00;0;0;0;0;0
2012;566,00;660;166;824;0;0
2012;784,00;2074;485;2596;252;1
2012;102,00;0;0;0;0;0
2012;379,00;0;0;0;0;0
2012;639,00;1269;303;1586;72;0
2012;457,00;0;0;0;0;0
2012;609,00;1855;1004;2899;197;0
2012;101,00;0;0;0;0;0
2012;454,00;612;167;776;29;0
2012;318,00;0;0;0;0;0
2012;600,00;937;232;1167;28;0
2012;545,00;1254;183;1457;125;0
2012;100,00;0;0;0;0;0
2012;702,00;1405;396;1811;152;0
2012;778,00;1136;301;1452;82;0
2012;341,00;0;0;0;0;0
2012;99,00;0;0;0;0;0
2012;767,00;0;0;0;0;0
2012;359,00;0;0;0;0;0
2012;98,00;0;0;0;0;0
2012;132,00;0;0;0;0;0
2012;97,00;0;0;0;0;0
2012;103,00;0;0;0;0;0
2012;110,00;0;0;0;0;0
2012;94,00;0;0;0;0;0
2012;91,00;0;0;0;0;0
2012;664,00;1080;318;1417;103;0
2012;918,00;2338;766;3194;465;0
2012;92,00;0;0;0;0;0
2012;95,00;0;0;0;0;0
2012;96,00;0;0;0;0;0
2012;301,00;0;0;0;0;0
2012;492,00;544;121;663;18;0
2012;811,00;72;31;103;7;0
2012;812,00;0;0;0;0;0
2012;832,00;0;0;0;0;0
2012;841,00;0;0;0;0;0
2012;856,00;0;0;0;0;0
2012;859,00;0;0;0;0;0
2012;861,00;0;0;0;0;0
2012;880,00;0;0;0;0;0
2012;883,00;0;0;0;0;0
2012;884,00;0;0;0;0;0
2012;877,00;0;0;0;0;0
2012;911,00;0;0;0;0;0
2012;913,00;0;0;0;0;0
2012;922,00;0;0;0;0;0
2012;923,00;0;0;0;0;0
2012;924,00;0;0;0;0;0
2012;947,00;0;0;0;0;0
2012;951,00;0;0;0;0;0
2012;972,00;0;0;0;0;0
2012;973,00;0;0;0;0;0
2012;974,00;0;0;0;0;0
2012;975,00;0;0;0;0;0
2012;960,00;0;0;0;0;0
2012;1027,00;0;0;0;0;0
2012;1028,00;0;0;0;0;0
2012;976,00;0;0;0;0;0
2012;977,00;0;0;0;0;0
2012;1020,00;0;0;0;0;0
2012;994,00;910;164;1080;68;0
2012;995,00;0;0;0;0;0
2012;1060,00;0;0;0;0;0
2012;1005,00;0;0;0;0;0
2012;1061,00;0;0;0;0;0
2012;1006,00;0;0;0;0;0
2012;1088,00;0;0;0;0;0
2012;1089,00;0;0;0;0;0
2012;1076,00;0;0;0;0;0
2012;1078,00;0;0;0;0;0
2012;1033,00;0;0;0;0;0
2012;1036,00;0;0;0;0;0
2012;1037,00;0;0;0;0;0
2012;1039,00;0;0;0;0;0
2012;1067,00;0;0;0;0;0
2012;1065,00;0;0;0;0;0
2012;1066,00;148;105;253;9;0
2012;207,00;28;28;56;0;0
2012;431,00;0;0;0;0;0
2012;387,00;299;94;394;20;0
2012;179,00;0;0;0;0;0
2012;606,00;208;113;325;14;0
2012;925,00;1775;404;2234;211;0
2012;541,00;201;85;290;20;0
2012;797,00;270;136;411;3;0
2012;627,00;520;269;805;0;0
2012;173,00;0;0;0;0;0
2012;636,00;1130;452;1612;137;0
2012;205,00;0;0;0;0;0
2012;814,00;0;0;0;0;0
2012;881,00;0;0;0;0;0
2012;771,00;1402;700;2164;276;0
2012;533,00;12;40;52;0;0
2012;447,00;248;118;366;9;0
2012;815,00;0;0;0;0;0
2012;801,00;2362;695;3049;233;0
2012;800,00;0;0;0;0;0
2012;389,00;444;312;754;17;0
2012;759,00;0;0;0;0;0
2012;695,00;1554;523;1949;152;0
2012;816,00;110;139;249;17;0
2012;833,00;205;205;410;13;0
2012;870,00;246;157;403;20;0
2012;927,00;48;40;88;0;0
2012;961,00;1979;637;2642;146;0
2012;962,00;0;0;0;0;0
2012;1079,00;22;5;27;4;0
2012;666,00;1265;669;1949;211;0
2012;392,00;0;0;0;0;0
2012;790,00;0;0;0;0;0
2012;650,00;473;161;637;25;0
2012;876,00;1481;289;1795;63;0
2012;944,00;0;0;0;0;0
2012;952,00;696;417;1113;63;0
2012;54,00;0;0;0;0;0
2012;367,00;0;0;0;0;0
2012;538,00;925;322;1263;54;0
2012;557,00;318;109;439;18;0
2012;653,00;293;294;600;55;0
2012;647,00;418;144;559;9;0
2012;978,00;1517;522;2076;179;0
2012;996,00;485;127;486;23;0
2012;729,00;3066;756;3879;364;0
2012;182,00;881;592;1491;58;0
2012;633,00;0;0;0;0;0
2012;685,00;887;348;1236;86;0
2012;683,00;344;144;492;22;0
2012;945,00;426;96;524;16;0
2012;953,00;0;0;0;0;0
2012;1022,00;0;0;0;0;0
2012;1049,00;0;0;0;0;0
2012;794,00;2219;679;2934;217;0
2012;415,00;0;0;0;0;0
2012;592,00;212;172;394;0;0
2012;497,00;0;0;0;0;0
2012;726,00;922;245;1178;65;0
2012;272,00;0;0;0;0;0
2012;805,00;2147;548;2761;247;0
2012;5,00;0;0;0;0;0
2012;234,00;270;134;394;10;0
2012;64,00;0;0;0;0;0
2012;842,00;279;113;392;8;0
2012;843,00;154;37;191;25;0
2012;1025,00;687;539;1224;62;0
2012;803,00;798;168;975;64;0
2012;211,00;0;0;0;0;0
2012;773,00;1130;304;1494;241;0
2012;424,00;791;103;894;72;0
2012;298,00;647;298;965;42;0
2012;594,00;0;0;0;0;0
2012;237,00;0;0;0;0;0
2012;16,00;0;0;0;0;0
2012;768,00;138;25;161;5;0
2012;617,00;883;189;1080;58;0
2012;297,00;258;84;342;14;0
2012;544,00;329;75;409;16;0
2012;804,00;813;162;979;73;0
2012;470,00;113;19;133;7;0
2012;104,00;0;0;0;0;0
2012;20,00;0;0;0;0;0
2012;550,00;0;0;0;0;0
2012;112,00;0;0;0;0;0
2012;818,00;0;0;0;0;0
2012;914,00;0;0;0;0;0
2012;928,00;0;0;0;0;0
2012;964,00;1026;169;1205;45;0
2012;1026,00;0;0;0;0;0
2012;1068,00;0;0;0;0;0
2012;738,00;2031;646;2732;221;0
2012;404,00;0;0;0;0;0
2012;274,00;307;250;557;13;0
2012;270,00;207;121;227;9;0
2012;676,00;457;115;577;41;0
2012;709,00;985;221;1225;86;0
2012;754,00;2857;776;3694;311;0
2012;997,00;277;68;348;10;0
2012;734,00;1630;393;2054;97;0
2012;299,00;0;0;0;0;0
2012;645,00;0;0;0;0;0
2012;17,00;0;0;0;0;0
2012;1046,00;0;0;0;0;0
2012;420,00;0;0;0;0;0
2012;802,00;0;0;0;0;0
2012;266,00;548;158;706;25;0
2012;580,00;103;26;131;9;0
2012;137,00;84;82;176;14;0
2012;769,00;0;0;0;0;0
2012;776,00;0;0;0;0;0
2012;640,00;432;116;550;12;0
2012;315,00;0;0;0;0;0
2012;40,00;0;0;0;0;0
2012;508,00;0;0;0;0;0
2012;46,00;0;0;0;0;0
2012;590,00;767;120;900;30;5
