"año";"NCODI";"due_cTotal";"matronas_cTotal";"oDueEspeciali_cTotal";"fisioterapeutas_cTotal";"terapeutas_cTotal";"logopedas_cTotal";"oSaniMedio_cTotal";"gMedioSani_cTotal";"gSuperiorSani_cTotal";"tecSani_cTotal";"restSani_cTotal2";"due_cMujeres";"matronas_cMujeres";"oDueEspeciali_cMujeres";"fisioterapeutas_cMujeres";"terapeutas_cMujeres";"logopedas_cMujeres";"oSaniMedio_cMujeres";"gMedioSani_cMujeres";"gSuperiorSani_cMujeres";"tecSani_cMujeres";"restSani_cMujeres2";"due_pTotal";"matronas_pTotal";"oDueEspeciali_pTotal";"fisioterapeutas_pTotal";"terapeutas_pTotal";"logopedas_pTotal";"oSaniMedio_pTotal";"gMedioSani_pTotal";"gSuperiorSani_pTotal";"tecSani_pTotal";"restSani_pTotal2";"due_pMujeres";"matronas_pMujeres";"oDueEspeciali_pMujeres";"fisioterapeutas_pMujeres";"terapeutas_pMujeres";"logopedas_pMujeres";"oSaniMedio_pMujeres";"gMedioSani_pMujeres";"gSuperiorSani_pMujeres";"tecSani_pMujeres";"restSani_pMujeres2";"due_colabTotal";"matronas_colabTotal";"oDueEspeciali_colabTotal";"fisioterapeutas_colabTotal";"terapeutas_colabTotal";"logopedas_colabTotal";"oSaniMedio_colabTotal";"gMedioSani_colabTotal";"gSuperiorSani_colabTotal";"tecSani_colabTotal";"restSani_colabTotal2";"due_colabMujeres";"matronas_colabMujeres";"oDueEspeciali_colabMujeres";"fisioterapeutas_colabMujeres";"terapeutas_colabMujeres";"logopedas_colabMujeres";"oSaniMedio_colabMujeres";"gMedioSani_colabMujeres";"gSuperiorSani_colabMujeres";"tecSani_colabMujeres";"restSani_colabMujeres2";"direccion_cTotal";"trabSocial_cTotal";"perOficio_cTotal";"administrativos_cTotal";"oNoSani_cTotal";"direccion_cMujeres";"trabSocial_cMujeres";"perOficio_cMujeres";"administrativos_cMujeres";"oNoSani_cMujeres";"direccion_pTotal";"trabSocial_pTotal";"perOficio_pTotal";"administrativos_pTotal";"oNoSani_pTotal";"direccion_pMujeres";"trabSocial_pMujeres";"perOficio_pMujeres";"administrativos_pMujeres";"oNoSani_pMujeres";"direccion_colabTotal";"trabSocial_colabTotal";"perOficio_colabTotal";"administrativos_colabTotal";"oNoSani_colabTotal";"direccion_colabMujeres";"trabSocial_colabMujeres";"perOficio_colabMujeres";"administrativos_colabMujeres";"oNoSani_colabMujeres"
2012;921,00;72;1;0;4;0;0;0;112;14;126;0;43;1;0;1;0;0;0;104;10;114;0;66;0;0;1;0;0;0;39;14;53;0;52;0;0;1;0;0;0;30;10;40;0;0;5;0;0;0;1;0;0;0;0;0;0;5;0;0;0;1;0;0;0;0;0;7;0;58;91;23;4;0;55;73;0;0;0;3;0;18;0;0;3;0;17;0;0;0;0;1;0;0;0;0;0
2012;991,00;13;2;0;1;0;0;0;12;5;17;0;7;2;0;1;0;0;0;11;1;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;0;12;0;1;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;992,00;233;10;4;10;2;0;0;152;59;211;0;206;10;4;7;2;0;0;147;48;195;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;82;44;3;2;0;64;17;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
2012;993,00;181;0;2;8;1;1;3;137;45;182;2;160;0;1;7;1;1;3;130;39;169;2;17;0;0;4;0;0;0;3;4;7;0;16;0;0;3;0;0;0;3;4;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;2;56;55;67;4;2;29;45;33;0;2;1;3;1;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0
2012;1071,00;1073;18;11;27;2;2;1;779;173;952;0;883;18;9;18;2;2;1;743;131;874;0;165;12;2;5;2;0;0;82;15;97;0;140;12;1;4;2;0;0;78;10;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;8;19;266;444;11;8;3;230;227;16;2;0;85;37;9;1;0;70;14;0;0;0;0;0;0;0;0;0;0
2012;473,00;26;5;0;0;0;0;0;15;8;23;0;26;5;0;0;0;0;0;14;7;21;0;2;0;0;0;0;0;0;13;4;17;0;2;0;0;0;0;0;0;12;4;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;11;6;2;1;0;6;2;1;0;0;6;13;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0
2012;663,00;394;10;0;1;0;0;5;183;34;217;0;359;10;0;1;0;0;5;172;23;195;0;173;3;0;0;0;0;5;102;21;123;0;156;3;0;0;0;0;5;96;19;115;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;5;8;147;90;1;5;4;107;29;1;0;16;54;27;1;0;7;34;5;0;0;0;0;0;0;0;0;0;0
2012;552,00;73;0;0;4;1;0;2;43;11;54;0;70;0;0;3;1;0;1;40;7;47;0;40;0;0;14;1;0;2;39;17;56;0;37;0;0;10;1;0;2;35;11;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;24;20;0;1;1;17;3;0;1;2;15;4;0;1;1;15;1;0;0;0;0;0;0;0;0;0;0
2012;772,00;1005;17;0;12;2;0;3;364;189;553;0;886;17;0;8;2;0;2;348;144;492;0;365;2;0;10;2;1;14;182;84;266;0;337;2;0;8;2;1;11;177;66;243;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;85;19;80;404;350;45;18;4;340;141;0;5;20;116;94;0;4;3;101;27;0;0;0;0;0;0;0;0;0;0
2012;568,00;50;0;0;11;2;0;0;30;3;33;0;45;0;0;10;2;0;0;30;2;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;1;3;8;6;1;1;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;398,00;63;0;0;6;2;0;15;11;8;19;0;54;0;0;4;2;0;10;11;7;18;0;11;0;0;2;1;0;0;5;2;7;0;11;0;0;2;1;0;0;5;2;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;1;6;26;30;1;1;0;20;9;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
2012;394,00;26;0;0;2;0;0;6;19;33;52;0;23;0;0;1;0;0;6;17;0;17;0;12;0;0;4;0;0;0;15;0;15;0;11;0;0;2;0;0;0;14;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;9;6;0;0;0;8;1;0;0;1;4;2;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0
2012;614,00;13;0;1;1;0;0;0;12;0;12;0;13;0;1;1;0;0;0;8;0;8;0;8;0;0;5;0;0;0;4;0;4;0;7;0;0;3;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;9;3;1;0;1;6;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
2012;235,00;33;0;0;2;0;0;0;25;0;25;0;26;0;0;2;0;0;0;23;0;23;0;5;0;0;1;0;0;0;9;0;9;0;3;0;0;1;0;0;0;8;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;8;12;1;0;0;8;5;0;0;0;2;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
