"año";"NCODI";"Camas instaladas";"incubadoras_instalada";"paritorios_instalada";"quirofanos_instalada";"salasHemo_instalada";"camas_funcionamiento";"incubadoras_funcionamiento";"paritorios_funcionamiento";"quirofanos_funcionamiento";"salasHemo_funcionamiento";"salas_rx_Hospital";"salas_rx_CEP";"puesto_HDia_medico";"puesto_HDia_psiquiatrico";"puesto_HDia_geriatrico";"integradasPuestos_HDia_CMA";"propiasPuestos_HDia_CMA";"propiasQuirofanos_HDia_CMA"
2013;934,00;"200 - 500 camas";5;4;8;0;312;5;4;5;0;7;0;20;0;0;0;16;0
2013;629,00;"200 - 500 camas";15;2;12;1;306;15;2;12;1;8;0;15;7;0;7;15;3
2013;21,00;"Menos de 200 camas";0;0;0;0;153;0;0;0;0;0;0;0;0;45;0;0;0
2013;615,00;"Menos de 200 camas";2;6;6;0;184;2;6;6;0;0;0;0;0;0;0;0;0
2013;626,00;"Menos de 200 camas";1;1;5;0;52;1;1;5;0;3;0;0;0;0;0;0;0
2013;417,00;"Menos de 200 camas";0;0;2;0;18;0;0;2;0;2;0;5;0;0;0;0;0
2013;597,00;"Menos de 200 camas";2;1;3;0;106;2;1;3;0;3;0;10;0;10;0;6;0
2013;539,00;"200 - 500 camas";9;7;10;1;325;9;7;8;1;20;0;68;0;20;22;0;0
2013;343,00;"Menos de 200 camas";1;1;3;0;47;1;1;3;0;4;0;0;0;0;0;0;0
2013;135,00;"200 - 500 camas";0;0;0;0;316;0;0;0;0;0;0;0;0;0;0;0;0
2013;158,00;"501 - 1000 camas";0;0;0;0;632;0;0;0;0;1;0;0;24;20;0;0;0
2013;775,00;"200 - 500 camas";6;6;6;0;157;6;6;6;0;4;0;14;0;0;0;4;0
2013;177,00;"200 - 500 camas";0;0;0;0;250;0;0;0;0;1;0;0;0;40;0;0;0
2013;578,00;"Menos de 200 camas";2;1;3;0;38;2;1;3;0;2;0;0;0;0;0;0;0
2013;416,00;"Menos de 200 camas";0;0;2;0;112;0;0;2;0;5;0;0;0;20;0;0;0
2013;561,00;"Menos de 200 camas";2;1;3;0;150;2;1;3;0;4;0;10;0;34;0;12;1
2013;828,00;"Menos de 200 camas";0;0;0;0;85;0;0;0;0;0;0;0;0;25;0;0;0
2013;860,00;"Menos de 200 camas";3;1;3;0;61;3;1;3;0;3;0;0;0;0;0;0;0
2013;935,00;"Menos de 200 camas";0;0;0;0;70;0;0;0;0;0;0;0;0;20;0;0;0
2013;936,00;"Menos de 200 camas";0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0
2013;986,00;"Menos de 200 camas";0;0;0;0;45;0;0;0;0;0;0;0;40;0;0;0;0
2013;987,00;"Menos de 200 camas";2;2;4;0;98;0;2;4;0;5;0;0;0;0;0;0;0
