"año";"NCODI";"60_totalCompra";"600_producFarma";"601_materialSani";"601_1_implantes";"601_2_restoMateriaSani";"606_servContratado";"607_trabajoContratado";"60X_restoCompras";"61_variaExistencias";"62_servExteriores";"628_sumistro";"62X_restoServiExter";"64_gastoPersonal";"640_sueldos";"641_indemnizacion";"642_SegSocEmpresa";"643_649_OtrGasSocial";"68_dotaAmortizacion";"69_perdidaDeterioro";"6X_restoGasto";"tot_compraGasto"
2013;411,00;15165510;3279446;2502069;227357;2274712;8759992;624003;0;-68527;1974967;429612;1545355;11276179;8806970;109667;2216695;142847;1255197;151714;250224;30005264
2013;241,00;9053793;1608205;2033616;1757562;276054;3412555;1560721;438696;103642;1627227;515859;1111368;7754332;5922107;22715;1780617;28893;903316;62951;638710;20143971
2013;558,00;34976880;17343160;6745544;1157572;5587972;7298623;3589553;0;0;3491309;2678476;812833;48276122;38615736;216439;9203417;240530;0;0;0;86744311
2013;167,00;671873;139963;255438;101280;154158;0;275015;1457;0;169727;62495;107232;455796;312350;52414;91032;0;81427;0;25988;1404811
2013;248,00;9106748;2307178;1418407;414284;1004123;0;1556077;3825086;25908;10394586;383897;10010689;13124696;10039450;541822;2488586;54838;2232025;195281;2428728;37507972
2013;224,00;2641822;385715;574853;162275;412578;1489803;51107;140344;25601;631654;154160;477494;3378973;2592333;37394;740119;9127;367053;25137;16181;7086421
2013;591,00;56572128;25584132;15421747;3159503;12262244;8472582;6155826;937841;0;4881477;2653481;2227996;73151273;58040504;223506;14882696;4567;0;0;214924;134819802
2013;586,00;41000188;20842634;7324440;1815670;5508770;6705308;5601970;525836;0;2909742;1016585;1893157;86320983;68977321;0;17343662;0;0;0;0;130230913
2013;453,00;2258780;390315;288464;0;288464;0;1469021;110980;0;657239;252364;404875;11183219;8796928;0;2365939;20352;0;0;0;14099238
2013;145,00;158569;40957;1894;0;1894;0;0;115718;0;288348;129900;158448;1131817;838714;3839;287077;2187;113518;3243;37913;1733408
2013;511,00;32286896;18759445;8089620;1565012;6524608;52427;4850714;534690;0;4096398;1454572;2641826;46094228;36185436;0;9842438;66354;0;0;0;82477522
2013;530,00;104330650;15795664;81249967;1691216;79558751;5589527;963209;732283;0;7025142;1449067;5576075;49499245;39583819;15058;9895962;4406;0;0;0;160855037
2013;6,00;9246567;814523;2267038;3258;2263780;0;5897494;267512;139189;1580845;512862;1067983;5863293;4492279;122791;1161784;86439;1001828;20011;807754;18659487
2013;161,00;470871;374630;17565;0;17565;26428;29962;22286;0;260391;242902;17489;8503410;7710983;0;792427;0;0;0;0;9234672
2013;623,00;52230742;23120588;15204381;3836032;11368349;6760118;6134710;1010945;-20584;4705477;1669300;3036177;92700232;74189732;0;18213446;297054;0;0;0;149615867
2013;489,00;293444;77912;80858;1148;79710;0;134674;0;5173;1113467;52896;1060571;1663724;1313576;487;343241;6420;7569;0;79271;3162648
2013;875,00;9286725;1607490;2046997;486352;1560645;3287355;1772146;572737;41223;2700911;814915;1885996;17202046;13837348;354418;2992233;18047;2363525;-51164;196934;31740200
2013;940,00;55259;14863;0;0;0;0;0;40396;0;117635;37008;80627;388288;298506;0;89427;355;5236;0;11874;578292
2013;946,00;7023015;875582;851145;561457;289688;2734277;350987;2211024;-129353;2359789;314730;2045059;14012395;11380269;34333;2475326;122467;1154907;1086582;0;25507335
2013;1023,00;42968355;12650351;6808460;0;6808460;17182179;5968678;358687;554981;7834590;1731449;6103141;40070783;32438922;298171;7333690;0;5837329;787982;267763;98321783
2013;1054,00;60136322;14416315;6900313;0;6900313;29136790;9682904;0;0;4155103;1068679;3086424;40055072;31804968;293173;7956931;0;38656;0;2904861;107290014
2013;1057,00;2371962;542251;509003;0;509003;983508;0;337200;0;1138417;463708;674709;10382511;8190200;0;2192311;0;0;0;0;13892890
2013;1031,00;15269;2475;170;0;170;0;1555;11069;0;194631;14593;180038;398020;301772;0;94756;1492;21330;0;16580;645830
2013;1032,00;36290766;12128380;6991024;0;6991024;13211931;3577196;382235;46921;7626160;1597534;6028626;36286368;29430028;91518;6764822;0;7808693;35214;873100;88967222
